City,Region,Population,link
Brest,Brest,"348,000",https://www.worlddata.info/europe/belarus/index.php
Hrodna,Grodnenskaya,"317,000",https://www.worlddata.info/europe/belarus/index.php
Babruysk,Mogilev,"221,000",https://www.worlddata.info/europe/belarus/index.php
Baranovichi,Brest,"179,000",https://www.worlddata.info/europe/belarus/index.php
Pinsk,Brest,"138,000",https://www.worlddata.info/europe/belarus/index.php
Novoye Medvezhino,Minsk,"120,000",https://www.worlddata.info/europe/belarus/index.php
Orsha,Vitebsk,"115,000",https://www.worlddata.info/europe/belarus/index.php
Mazyr,Gomel,"112,000",https://www.worlddata.info/europe/belarus/index.php
Lida,Grodnenskaya,"102,000",https://www.worlddata.info/europe/belarus/index.php
Salihorsk,Minsk,"102,000",https://www.worlddata.info/europe/belarus/index.php
Maladzyechna,Minsk,"101,000",https://www.worlddata.info/europe/belarus/index.php
Navapolatsk,Vitebsk,"101,000",https://www.worlddata.info/europe/belarus/index.php
Polatsk,Vitebsk,"82,000",https://www.worlddata.info/europe/belarus/index.php
Zhlobin,Gomel,"73,000",https://www.worlddata.info/europe/belarus/index.php
Svyetlahorsk,Gomel,"71,000",https://www.worlddata.info/europe/belarus/index.php
Slonim,Grodnenskaya,"51,000",https://www.worlddata.info/europe/belarus/index.php
Kobryn,Brest,"51,000",https://www.worlddata.info/europe/belarus/index.php
Vawkavysk,Grodnenskaya,"47,000",https://www.worlddata.info/europe/belarus/index.php
Brussels / Capital,Brussels Capital,"1,175,000",https://www.worlddata.info/europe/belgium/index.php
Antwerpen,Flanders,"498,000",https://www.worlddata.info/europe/belgium/index.php
Gent,Flanders,"248,000",https://www.worlddata.info/europe/belgium/index.php
Charleroi,Wallonia,"204,000",https://www.worlddata.info/europe/belgium/index.php
Liège,Wallonia,"196,000",https://www.worlddata.info/europe/belgium/index.php
Brugge,Flanders,"117,000",https://www.worlddata.info/europe/belgium/index.php
Namur,Wallonia,"110,000",https://www.worlddata.info/europe/belgium/index.php
Leuven,Flanders,"93,000",https://www.worlddata.info/europe/belgium/index.php
Mons,Wallonia,"91,000",https://www.worlddata.info/europe/belgium/index.php
Aalst,Flanders,"78,000",https://www.worlddata.info/europe/belgium/index.php
Mechelen,Flanders,"78,000",https://www.worlddata.info/europe/belgium/index.php
La Louvière,Wallonia,"77,000",https://www.worlddata.info/europe/belgium/index.php
Sarajevo / Capital,,"276,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Banja Luka,,"221,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Zenica,,"164,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Tuzla,,"142,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Mostar,,"105,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Bihac,,"76,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Bugojno,,"41,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Brcko,,"39,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Bijeljina,,"38,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Prijedor,,"36,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Trebinje,,"33,000",https://www.worlddata.info/europe/bosnia-and-herzegovina/index.php
Sofia / Capital,Southwest / Sofia,"1,242,000",https://www.worlddata.info/europe/bulgaria/index.php
Plovdiv,Central-South / Plovdiv,"347,000",https://www.worlddata.info/europe/bulgaria/index.php
Varna,Northeast / Varna,"337,000",https://www.worlddata.info/europe/bulgaria/index.php
Burgas,Southeast / Burgas,"202,000",https://www.worlddata.info/europe/bulgaria/index.php
Ruse,Central-North / Ruse,"143,000",https://www.worlddata.info/europe/bulgaria/index.php
Stara Zagora,Southeast / Burgas,"136,000",https://www.worlddata.info/europe/bulgaria/index.php
Pleven,Northwest / Montana,"97,000",https://www.worlddata.info/europe/bulgaria/index.php
Sliven,Southeast / Burgas,"96,000",https://www.worlddata.info/europe/bulgaria/index.php
Dobrich,Northeast / Varna,"95,000",https://www.worlddata.info/europe/bulgaria/index.php
Shumen,Northeast / Varna,"87,000",https://www.worlddata.info/europe/bulgaria/index.php
Pernik,Southwest / Sofia,"82,000",https://www.worlddata.info/europe/bulgaria/index.php
Yambol,Southeast / Burgas,"80,000",https://www.worlddata.info/europe/bulgaria/index.php
Haskovo,Central-South / Plovdiv,"80,000",https://www.worlddata.info/europe/bulgaria/index.php
Pazardzhik,Central-South / Plovdiv,"76,000",https://www.worlddata.info/europe/bulgaria/index.php
Blagoevgrad,Southwest / Sofia,"71,000",https://www.worlddata.info/europe/bulgaria/index.php
Veliko Turnovo,Central-North / Ruse,"66,000",https://www.worlddata.info/europe/bulgaria/index.php
Gabrovo,Central-North / Ruse,"66,000",https://www.worlddata.info/europe/bulgaria/index.php
Vratsa,Northwest / Montana,"65,000",https://www.worlddata.info/europe/bulgaria/index.php
Vidin,Northwest / Montana,"54,000",https://www.worlddata.info/europe/bulgaria/index.php
Asenovgrad,Central-South / Plovdiv,"52,000",https://www.worlddata.info/europe/bulgaria/index.php
Kurdzhali,Central-South / Plovdiv,"51,000",https://www.worlddata.info/europe/bulgaria/index.php
Kyustendil,Southwest / Sofia,"48,000",https://www.worlddata.info/europe/bulgaria/index.php
Montana,Northwest / Montana,"47,000",https://www.worlddata.info/europe/bulgaria/index.php
Lovech,Northwest / Montana,"42,000",https://www.worlddata.info/europe/bulgaria/index.php
Silistra,Central-North / Ruse,"40,000",https://www.worlddata.info/europe/bulgaria/index.php
Razgrad,Central-North / Ruse,"38,000",https://www.worlddata.info/europe/bulgaria/index.php
Zagreb / Capital,Grad Zagreb,"793,000",https://www.worlddata.info/europe/croatia/index.php
Split,Splitsko-Dalmatinska,"178,000",https://www.worlddata.info/europe/croatia/index.php
Rijeka,Primorsko-Goranska,"129,000",https://www.worlddata.info/europe/croatia/index.php
Osijek,Osjecko-Baranjska,"108,000",https://www.worlddata.info/europe/croatia/index.php
Zadar,Zadarska,"71,000",https://www.worlddata.info/europe/croatia/index.php
Slavonski Brod,Brodsko-Posavska,"61,000",https://www.worlddata.info/europe/croatia/index.php
Pula,Istarska,"59,000",https://www.worlddata.info/europe/croatia/index.php
Sesvete,Grad Zagreb,"52,000",https://www.worlddata.info/europe/croatia/index.php
Karlovac,Karlovacka,"48,000",https://www.worlddata.info/europe/croatia/index.php
Varaždin,Varaždinska,"42,000",https://www.worlddata.info/europe/croatia/index.php
Stenjevec,Grad Zagreb,"41,000",https://www.worlddata.info/europe/croatia/index.php
Šibenik,Šibensko-Kniniska,"37,000",https://www.worlddata.info/europe/croatia/index.php
Sisak,Sisacko-Moslavacka,"36,000",https://www.worlddata.info/europe/croatia/index.php
Velika Gorica,Zagrebacka,"35,000",https://www.worlddata.info/europe/croatia/index.php
Vinkovci,Vukovarsko-Srijemska,"33,000",https://www.worlddata.info/europe/croatia/index.php
Vukovar,Vukovarsko-Srijemska,"30,000",https://www.worlddata.info/europe/croatia/index.php
Dubrovnik,Dubrovacko-Neretvanska,"28,000",https://www.worlddata.info/europe/croatia/index.php
Bjelovar,Bjelovarsko-Bilogorska,"28,000",https://www.worlddata.info/europe/croatia/index.php
Koprivnica,Koprivnicko-Krizevacka,"26,000",https://www.worlddata.info/europe/croatia/index.php
Požega,Požeško-Slavonska,"21,000",https://www.worlddata.info/europe/croatia/index.php
Zapresic,Zagrebacka,"18,000",https://www.worlddata.info/europe/croatia/index.php
Solin,Splitsko-Dalmatinska,"16,000",https://www.worlddata.info/europe/croatia/index.php
Cakovec,Medimurska,"16,000",https://www.worlddata.info/europe/croatia/index.php
Virovitica,Virovitick-Podravska,"16,000",https://www.worlddata.info/europe/croatia/index.php
Samobor,Zagrebacka,"15,000",https://www.worlddata.info/europe/croatia/index.php
Kutina,Sisacko-Moslavacka,"15,000",https://www.worlddata.info/europe/croatia/index.php
Gospic,Licko-Senjska,"6,120",https://www.worlddata.info/europe/croatia/index.php
Pazin,Istarska,"5,010",https://www.worlddata.info/europe/croatia/index.php
Krapina,Krapinsko-Zagorska,"4,730",https://www.worlddata.info/europe/croatia/index.php
Prague / Capital,Praha,"1,301,000",https://www.worlddata.info/europe/czechia/index.php
Brno,South Moravian,"380,000",https://www.worlddata.info/europe/czechia/index.php
Ostrava,Moravskoslezský,"290,000",https://www.worlddata.info/europe/czechia/index.php
Starý Plzenec,Plzensky,"171,000",https://www.worlddata.info/europe/czechia/index.php
Pilsen,Plzensky,"164,000",https://www.worlddata.info/europe/czechia/index.php
Liberec,Liberecký,"104,000",https://www.worlddata.info/europe/czechia/index.php
Olomouc,Olomoucký,"100,000",https://www.worlddata.info/europe/czechia/index.php
Ceske Budejovice,Jihocesky,"96,000",https://www.worlddata.info/europe/czechia/index.php
Ústí nad Labem,Ústecký,"93,000",https://www.worlddata.info/europe/czechia/index.php
Hradec Králové,Královéhradecký,"93,000",https://www.worlddata.info/europe/czechia/index.php
Pardubice,Pardubický,"89,000",https://www.worlddata.info/europe/czechia/index.php
Havirov,Moravskoslezský,"83,000",https://www.worlddata.info/europe/czechia/index.php
Zlín,Zlín,"79,000",https://www.worlddata.info/europe/czechia/index.php
Kladno,Central Bohemia,"70,000",https://www.worlddata.info/europe/czechia/index.php
Most,Ústecký,"68,000",https://www.worlddata.info/europe/czechia/index.php
Karviná,Moravskoslezský,"64,000",https://www.worlddata.info/europe/czechia/index.php
Opava,Moravskoslezský,"60,000",https://www.worlddata.info/europe/czechia/index.php
Decin,Ústecký,"52,000",https://www.worlddata.info/europe/czechia/index.php
Karlovy Vary,Karlovarský,"52,000",https://www.worlddata.info/europe/czechia/index.php
Teplice,Ústecký,"51,000",https://www.worlddata.info/europe/czechia/index.php
Jihlava,Vysocina,"50,000",https://www.worlddata.info/europe/czechia/index.php
Prostejov,Olomoucký,"47,000",https://www.worlddata.info/europe/czechia/index.php
Prerov,Olomoucký,"47,000",https://www.worlddata.info/europe/czechia/index.php
Jablonec nad Nisou,Liberecký,"45,000",https://www.worlddata.info/europe/czechia/index.php
Mladá Boleslav,Central Bohemia,"44,000",https://www.worlddata.info/europe/czechia/index.php
Ceska Lipa,Liberecký,"39,000",https://www.worlddata.info/europe/czechia/index.php
Trebic,Vysocina,"39,000",https://www.worlddata.info/europe/czechia/index.php
Copenhagen / Capital,Hovedstaden,"616,000",https://www.worlddata.info/europe/denmark/index.php
Århus,Central Jutland,"341,000",https://www.worlddata.info/europe/denmark/index.php
Aalborg,North Denmark,"213,000",https://www.worlddata.info/europe/denmark/index.php
Odense,Southern Denmark,"203,000",https://www.worlddata.info/europe/denmark/index.php
Esbjerg,Southern Denmark,"116,000",https://www.worlddata.info/europe/denmark/index.php
Vejle,Southern Denmark,"114,000",https://www.worlddata.info/europe/denmark/index.php
Frederiksberg,Hovedstaden,"104,000",https://www.worlddata.info/europe/denmark/index.php
Randers,Central Jutland,"56,000",https://www.worlddata.info/europe/denmark/index.php
Kolding,Southern Denmark,"55,000",https://www.worlddata.info/europe/denmark/index.php
Horsens,Central Jutland,"50,000",https://www.worlddata.info/europe/denmark/index.php
Hvidovre,Hovedstaden,"49,000",https://www.worlddata.info/europe/denmark/index.php
Greve,Zealand,"48,000",https://www.worlddata.info/europe/denmark/index.php
Herning,Central Jutland,"45,000",https://www.worlddata.info/europe/denmark/index.php
Roskilde,Zealand,"44,000",https://www.worlddata.info/europe/denmark/index.php
Silkeborg,Central Jutland,"42,000",https://www.worlddata.info/europe/denmark/index.php
Næstved,Zealand,"41,000",https://www.worlddata.info/europe/denmark/index.php
Ballerup,Hovedstaden,"40,000",https://www.worlddata.info/europe/denmark/index.php
Viborg,Central Jutland,"35,000",https://www.worlddata.info/europe/denmark/index.php
Køge,Zealand,"34,000",https://www.worlddata.info/europe/denmark/index.php
Hillerød,Hovedstaden,"31,000",https://www.worlddata.info/europe/denmark/index.php
Sorø,Zealand,"7,170",https://www.worlddata.info/europe/denmark/index.php
Tallinn / Capital,Harju,"431,000",https://www.worlddata.info/europe/estonia/index.php
Tartu,Tartu,"94,000",https://www.worlddata.info/europe/estonia/index.php
Narva,Ida-Virumaa,"67,000",https://www.worlddata.info/europe/estonia/index.php
Kohtla-Järve,Ida-Virumaa,"46,000",https://www.worlddata.info/europe/estonia/index.php
Pärnu,Pärnumaa,"44,000",https://www.worlddata.info/europe/estonia/index.php
Viljandi,Viljandimaa,"20,000",https://www.worlddata.info/europe/estonia/index.php
Rakvere,Lääne-Virumaa,"17,000",https://www.worlddata.info/europe/estonia/index.php
Sillamäe,Ida-Virumaa,"17,000",https://www.worlddata.info/europe/estonia/index.php
Maardu,Harju,"17,000",https://www.worlddata.info/europe/estonia/index.php
